"Entidad","UPM","VIV_SEL","HOGAR","RESUL_H","R_SEL","AREAM","AP4_1","AP4_2_03","FAC_ELE"
"14","1401229","02","01","B","01","02","3","1",805
"14","1408278","03","01","B","01","02","3","0",2907
"22","2201722","01","01","A","01",NA,"3","0",412
"30","3004108","02","01","B","02","12","3","0",1396
"12","1201660","03","01","B","01","13","3","0",790
"28","2808341","19","01","B","02",NA,"3","0",812
"04","0401232","11","01","B","04",NA,"3","0",560
"08","0803275","04","01","B","02",NA,"3","0",1215
"16","1604762","14","01","B","01",NA,"3","0",329
"10","1060347","01","01","B","02",NA,"3","0",845
"06","0601255","11","01","B","03",NA,"3","0",234
"05","0500329","04","01","B","01",NA,"1","0",754
"10","1060108","05","01","B","01",NA,"3","0",284
"18","1801770","11","01","B","03",NA,"3","0",1036
"13","1360119","19","01","A","02",NA,"3","0",816
"12","1200884","04","01","A","03","13","3","0",1059
"22","2201538","01","01","B","02","36","3","0",723
"09","0921001","04","01","B","01","01","3","0",1042
"09","0912584","02","01","B","01","01","3","0",6130
"04","0400180","01","01","B","02","28","3","1",312
"27","2701662","17","01","A","01",NA,"3","0",508
"21","2107983","16","01","A","03",NA,"3","0",1572
"05","0502546","04","01","B","01","17","3","0",1516
"19","1906388","04","01","B","01","03","3","0",950
"22","2201021","02","03","B","02","36","3","0",342
"19","1901450","02","02","B","01","03","3","0",751
"04","0400500","04","01","B","03","28","3","0",560
"10","1001156","05","01","B","02","26","3","0",416
"21","2107544","07","01","B","01",NA,"3","0",1203
"06","0601515","10","02","B","04",NA,"3","0",122
"07","0760844","07","01","B","01",NA,"3","0",334
"02","0207299","05","01","B","01","21","3","0",618
"05","0501009","04","01","B","01",NA,"3","0",794
"22","2202996","18","01","B","01",NA,"3","0",555
"32","3202062","13","01","B","01",NA,"3","0",502
"08","0860563","04","01","A","02",NA,"3","0",1068
"23","2300981","01","01","A","01","41","3","0",187
"18","1800945","02","01","B","02","27","3","0",780
"09","0913887","04","01","A","01","01","3","0",5036
"30","3061706","12","01","B","02",NA,"3","0",1302
"11","1160446","05","01","B","01",NA,"3","0",978
"16","1601814","01","01","A","04",NA,"3","0",1240
"23","2302189","05","01","A","01","41","3","0",155
"20","2002787","19","01","B","02",NA,"3","0",858
"22","2201258","02","01","B","01","36","3","0",985
"12","1200880","03","01","A","01","13","2","0",640
"30","3009422","20","01","A","02",NA,"3","0",1268
"18","1800491","03","01","A","03","27","3","0",704
"24","2460290","19","01","B","01",NA,"3","0",987
"31","3102376","02","01","B","01","08","3","0",480
"29","2900434","02","01","B","03","39","3","0",423
"22","2202595","16","01","B","01",NA,"3","0",386
"06","0600462","03","01","B","01",NA,"3","0",64
"26","2604660","04","01","A","01",NA,"3","0",1004
"26","2602543","05","01","B","02","25","3","0",1078
